model,component,contribution
PT4_COREDe,L20H3,0.4954427083333333
PT4_COREDe,L20H6,0.4954427083333333
PT4_COREDe,L20H7,0.4954427083333333
PT4_COREDe,L20H5,0.4954427083333333
PT4_COREDe,L20H4,0.4954427083333333
PT4_COREDe,L20H0,0.4954427083333333
PT4_COREDe,L20H1,0.4954427083333333
PT4_COREDe,L20H2,0.4954427083333333
PT2_COREDe,L20H7,0.4953125
PT2_COREDe,L20H4,0.4953125
PT2_COREDe,L20H5,0.4953125
PT2_COREDe,L20H3,0.4953125
PT2_COREDe,L20H2,0.4953125
PT2_COREDe,L20H6,0.4953125
PT2_COREDe,L20H0,0.4953125
PT2_COREDe,L20H1,0.4953125
PT2_COREDe,L6H3,0.365234375
PT2_COREDe,L6H2,0.365234375
PT2_COREDe,L6H7,0.365234375
PT3_COREDe,L6H2,0.365234375
PT3_COREDe,L6H1,0.365234375
PT2_COREDe,L6H4,0.365234375
PT2_COREDe,L6H0,0.365234375
PT2_COREDe,L6H1,0.365234375
PT3_COREDe,L6H0,0.365234375
PT3_COREDe,L6H3,0.365234375
PT3_COREDe,L6H4,0.365234375
PT2_COREDe,L6H6,0.365234375
PT2_COREDe,L6H5,0.365234375
PT3_COREDe,L6H6,0.365234375
PT3_COREDe,L6H5,0.365234375
PT3_COREDe,L6H7,0.365234375
PT4_COREDe,L6H7,0.36419270833333334
PT4_COREDe,L6H5,0.36419270833333334
PT4_COREDe,L6H6,0.36419270833333334
PT4_COREDe,L6H4,0.36419270833333334
PT4_COREDe,L6H1,0.36419270833333334
PT4_COREDe,L6H0,0.36419270833333334
PT4_COREDe,L6H2,0.36419270833333334
PT4_COREDe,L6H3,0.36419270833333334
base,L6H3,0.3639322916666667
base,L6H0,0.3639322916666667
base,L6H2,0.3639322916666667
base,L6H1,0.3639322916666667
base,L6H6,0.3639322916666667
base,L6H5,0.3639322916666667
base,L6H7,0.3639322916666667
base,L6H4,0.3639322916666667
PT3_COREUt,L6H2,0.363671875
PT3_COREUt,L6H3,0.363671875
PT3_COREUt,L6H4,0.363671875
PT3_COREUt,L6H5,0.363671875
PT3_COREUt,L6H6,0.363671875
PT3_COREUt,L6H7,0.363671875
PT3_COREUt,L6H0,0.363671875
PT3_COREUt,L6H1,0.363671875
PT4_COREDe,L9H4,0.3486328125
PT4_COREDe,L9H7,0.3486328125
PT4_COREDe,L9H6,0.3486328125
PT4_COREDe,L9H5,0.3486328125
PT4_COREDe,L9H0,0.3486328125
PT4_COREDe,L9H3,0.3486328125
PT4_COREDe,L9H2,0.3486328125
PT4_COREDe,L9H1,0.3486328125
PT2_COREDe,L9H1,0.3484375
PT2_COREDe,L9H2,0.3484375
PT2_COREDe,L9H3,0.3484375
PT2_COREDe,L9H0,0.3484375
PT2_COREDe,L9H4,0.3484375
PT2_COREDe,L9H5,0.3484375
PT2_COREDe,L9H7,0.3484375
PT2_COREDe,L9H6,0.3484375
PT3_COREUt,L9H7,0.3465494791666667
PT3_COREUt,L9H6,0.3465494791666667
PT3_COREUt,L9H4,0.3465494791666667
PT3_COREUt,L9H5,0.3465494791666667
PT3_COREUt,L9H3,0.3465494791666667
PT3_COREUt,L9H2,0.3465494791666667
PT3_COREUt,L9H1,0.3465494791666667
PT3_COREUt,L9H0,0.3465494791666667
PT3_COREDe,L9H0,0.34609375
PT3_COREDe,L9H1,0.34609375
PT3_COREDe,L9H2,0.34609375
PT3_COREDe,L9H3,0.34609375
PT3_COREDe,L9H5,0.34609375
PT3_COREDe,L9H4,0.34609375
PT3_COREDe,L9H6,0.34609375
PT3_COREDe,L9H7,0.34609375
PT4_COREDe,L22H4,0.34498697916666665
PT4_COREDe,L22H5,0.34498697916666665
PT4_COREDe,L22H6,0.34498697916666665
PT4_COREDe,L22H7,0.34498697916666665
PT4_COREDe,L22H0,0.34498697916666665
PT4_COREDe,L22H1,0.34498697916666665
PT4_COREDe,L22H2,0.34498697916666665
PT4_COREDe,L22H3,0.34498697916666665
base,L9H7,0.3448567708333333
base,L9H5,0.3448567708333333
base,L9H2,0.3448567708333333
base,L9H3,0.3448567708333333
base,L9H6,0.3448567708333333
base,L9H4,0.3448567708333333
base,L9H1,0.3448567708333333
base,L9H0,0.3448567708333333
PT2_COREDe,L22H5,0.3416666666666667
PT2_COREDe,L22H1,0.3416666666666667
PT2_COREDe,L22H6,0.3416666666666667
PT2_COREDe,L22H0,0.3416666666666667
PT2_COREDe,L22H2,0.3416666666666667
PT2_COREDe,L22H3,0.3416666666666667
PT2_COREDe,L22H4,0.3416666666666667
PT2_COREDe,L22H7,0.3416666666666667
base,L22H0,0.34075520833333334
base,L22H1,0.34075520833333334
base,L22H3,0.34075520833333334
base,L22H2,0.34075520833333334
base,L22H4,0.34075520833333334
base,L22H5,0.34075520833333334
base,L22H6,0.34075520833333334
base,L22H7,0.34075520833333334
PT3_COREDe,L22H1,0.33990885416666666
PT3_COREDe,L22H4,0.33990885416666666
PT3_COREDe,L22H6,0.33990885416666666
PT3_COREDe,L22H7,0.33990885416666666
PT3_COREDe,L22H5,0.33990885416666666
PT3_COREDe,L22H2,0.33990885416666666
PT3_COREDe,L22H0,0.33990885416666666
PT3_COREDe,L22H3,0.33990885416666666
PT3_COREUt,L22H2,0.3391927083333333
PT3_COREUt,L22H7,0.3391927083333333
PT3_COREUt,L22H4,0.3391927083333333
PT3_COREUt,L22H0,0.3391927083333333
PT3_COREUt,L22H5,0.3391927083333333
PT3_COREUt,L22H1,0.3391927083333333
PT3_COREUt,L22H3,0.3391927083333333
PT3_COREUt,L22H6,0.3391927083333333
PT3_COREDe,L24H5,0.2630208333333333
PT3_COREDe,L24H7,0.2630208333333333
PT3_COREDe,L24H6,0.2630208333333333
PT3_COREDe,L24H0,0.2630208333333333
PT3_COREDe,L24H1,0.2630208333333333
PT3_COREDe,L24H2,0.2630208333333333
PT3_COREDe,L24H3,0.2630208333333333
PT3_COREDe,L24H4,0.2630208333333333
PT2_COREDe,L24H6,0.2591145833333333
PT2_COREDe,L24H3,0.2591145833333333
PT2_COREDe,L24H0,0.2591145833333333
PT2_COREDe,L24H7,0.2591145833333333
PT2_COREDe,L24H2,0.2591145833333333
PT2_COREDe,L24H1,0.2591145833333333
PT2_COREDe,L24H4,0.2591145833333333
PT2_COREDe,L24H5,0.2591145833333333
PT3_COREUt,L24H2,0.25904947916666665
base,L24H0,0.25904947916666665
base,L24H5,0.25904947916666665
base,L24H6,0.25904947916666665
base,L24H2,0.25904947916666665
