Component,De_to_Ut,Ut_to_De,Max_Effect,Asymmetry
L14H2,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
L14H3,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
L14H4,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
L14H5,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
L14H6,0.011458333333333333,-0.00625,0.011458333333333333,0.005208333333333332
L20H7,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L16H4,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L16H3,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L16H6,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L20H0,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L20H1,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L20H2,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L20H3,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L20H4,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L16H7,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L20H5,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L20H6,0.011458333333333333,-0.011458333333333333,0.011458333333333333,0.0
L16H0,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L16H1,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L16H5,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L16H2,-0.011458333333333333,-0.008333333333333333,0.011458333333333333,0.019791666666666666
L16_MLP,0.010416666666666666,-0.010416666666666666,0.010416666666666666,0.0
L25_MLP,-0.010416666666666666,0.004166666666666667,0.010416666666666666,0.0062499999999999995
L24_MLP,0.004166666666666667,-0.009375,0.009375,0.005208333333333333
L17H3,0.00625,-0.009375,0.009375,0.0031249999999999993
L17H6,0.00625,-0.009375,0.009375,0.0031249999999999993
L17H2,0.00625,-0.009375,0.009375,0.0031249999999999993
L17H1,0.00625,-0.009375,0.009375,0.0031249999999999993
L17H0,0.00625,-0.009375,0.009375,0.0031249999999999993
L17H4,0.00625,-0.009375,0.009375,0.0031249999999999993
L17H5,0.00625,-0.009375,0.009375,0.0031249999999999993
L17H7,0.00625,-0.009375,0.009375,0.0031249999999999993
L4_MLP,-0.009375,0.009375,0.009375,0.0
L10_MLP,-0.008333333333333333,0.004166666666666667,0.008333333333333333,0.004166666666666667
L14_MLP,0.003125,-0.008333333333333333,0.008333333333333333,0.005208333333333333
L2_MLP,-0.003125,-0.008333333333333333,0.008333333333333333,0.011458333333333334
L11_MLP,-0.008333333333333333,0.004166666666666667,0.008333333333333333,0.004166666666666667
L10H1,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L10H0,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L10H3,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L10H2,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L10H4,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L10H5,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L10H6,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L10H7,0.007291666666666667,-0.003125,0.007291666666666667,0.004166666666666667
L11H3,0.004166666666666667,-0.005208333333333333,0.005208333333333333,0.0010416666666666664
L11H2,0.004166666666666667,-0.005208333333333333,0.005208333333333333,0.0010416666666666664
L11H5,0.004166666666666667,-0.005208333333333333,0.005208333333333333,0.0010416666666666664
L11H6,0.004166666666666667,-0.005208333333333333,0.005208333333333333,0.0010416666666666664
L11H7,0.004166666666666667,-0.005208333333333333,0.005208333333333333,0.0010416666666666664
L9H0,-0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0
L9H1,-0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0
L11H1,0.004166666666666667,-0.005208333333333333,0.005208333333333333,0.0010416666666666664
L11H0,0.004166666666666667,-0.005208333333333333,0.005208333333333333,0.0010416666666666664
L9H2,-0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0
L9H3,-0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0
L9H4,-0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0
