component_1,component_2,Deontological_corr,Utilitarian_corr,correlation_diff,abs_diff
L1_ATTN,L8_MLP,0.8004637461750909,0.6640721147555922,0.13639163141949862,0.13639163141949862
L13_MLP,L9_MLP,-0.6601692960698808,-0.7923927053962645,0.13222340932638366,0.13222340932638366
L4_ATTN,L8_MLP,-0.7743021131627857,-0.6426071213158052,-0.13169499184698052,0.13169499184698052
L7_MLP,L9_MLP,0.2577382232047292,0.3877592155880935,-0.1300209923833643,0.1300209923833643
L10_ATTN,L9_MLP,0.8243156376336433,0.9494366194692611,-0.1251209818356177,0.1251209818356177
L15_MLP,L9_MLP,-0.2971671319158186,-0.4162430190385492,0.1190758871227306,0.1190758871227306
L2_MLP,L6_MLP,0.9152843189610796,0.7985566993373455,0.11672761962373412,0.11672761962373412
L2_MLP,L8_MLP,0.8002794140908194,0.6858914234078674,0.11438799068295202,0.11438799068295202
L23_MLP,L8_MLP,0.0511555442011048,0.16536635780827547,-0.11421081360717067,0.11421081360717067
L17_MLP,L6_MLP,-0.29636744928705,-0.41025606054452873,0.11388861125747873,0.11388861125747873
L11_ATTN,L8_MLP,0.38223048478514576,0.27058253549494843,0.11164794929019733,0.11164794929019733
L0_ATTN,L6_MLP,-0.2280418419152473,-0.12364998118868364,-0.10439186072656365,0.10439186072656365
L8_MLP,L9_ATTN,0.7416869238166703,0.6394550542568418,0.10223186955982855,0.10223186955982855
L6_ATTN,L6_MLP,0.8970225024785992,0.7951071579226038,0.10191534455599538,0.10191534455599538
L21_ATTN,L9_MLP,0.4537573717698171,0.3537383829007967,0.10001898886902044,0.10001898886902044
L5_ATTN,L6_MLP,0.9046306530603081,0.8048381897557934,0.09979246330451474,0.09979246330451474
L1_MLP,L9_MLP,0.3329068029816164,0.42835293687811926,-0.09544613389650286,0.09544613389650286
L6_MLP,L9_ATTN,0.850620006573149,0.7574738141632891,0.09314619240985988,0.09314619240985988
L22_MLP,L8_MLP,0.1863918512200906,0.27550627984441023,-0.08911442862431962,0.08911442862431962
L11_MLP,L6_MLP,0.7512157253672186,0.6626307655555906,0.08858495981162795,0.08858495981162795
L19_MLP,L6_MLP,-0.3422700937681659,-0.4214778049065785,0.07920771113841257,0.07920771113841257
L25_MLP,L8_MLP,0.12535214186525284,0.2039999592485259,-0.07864781738327306,0.07864781738327306
L9_ATTN,L9_MLP,-0.3774546483645976,-0.3044306416677516,-0.073024006696846,0.073024006696846
L0_MLP,L9_MLP,0.5116398756145191,0.44485491062119265,0.06678496499332642,0.06678496499332642
L8_ATTN,L8_MLP,0.759427084128174,0.6936305159525836,0.06579656817559032,0.06579656817559032
L3_MLP,L9_MLP,-0.0775746377440641,-0.14050865857937972,0.06293402083531562,0.06293402083531562
